Hours_Awake,Decisions_Made,Task_Switches,Avg_Decision_Time_sec,Sleep_Hours_Last_Night,Stress_Level_1_10,Error_Rate,Cognitive_Load_Score,Sleep_Debt,Sleep_Caffeine_Interaction,Stress_Cognitive_Interaction,Task_Completion_Time
14,79,18,3.82,4.7,1.410986973710262,0.11243542932978817,5.1,3.3,1.7404661748405046,2.821973947420524,5.713006469183733
11,53,15,4.56,5.2,0.6931471805599453,0.002995508979798479,2.9,2.8,1.824549292051046,1.3609765531356006,5.491743703074097
17,72,18,4.41,6.6,1.589235205116581,0.03633192924739028,5.4,1.4000000000000004,3.034952986707272,3.0937660138253564,5.763685267389244
8,49,18,3.18,8.2,1.547562508716013,0.0,4.6,-0.1999999999999993,2.856470206220483,2.8914822521801917,5.055098650802776
7,37,11,4.11,6.7,1.2809338454620642,0.0,3.2,1.2999999999999998,2.667228206581955,2.2321626286975,5.030895333103616
4,19,5,2.38,6.0,0.6931471805599453,0.0,1.4,2.0,2.5649493574615367,0.8754687373538999,3.8334126048462345
17,66,23,3.02,4.1,1.410986973710262,0.1527210870176639,5.0,3.9000000000000004,0.0,2.803360380906535,5.2999160879117335
7,34,10,1.98,5.1,1.252762968495368,0.0,3.0,2.9000000000000004,1.8082887711792655,2.1400661634962708,4.224202549480315
10,61,10,2.08,5.9,0.8754687373538999,0.0,3.2,2.0999999999999996,1.9315214116032138,1.701105100959924,4.851092324191641
17,96,34,3.86,7.3,1.8082887711792655,0.09531017980432487,7.6,0.7000000000000002,3.131136910560194,3.6828613817883733,5.9177103585193205
5,26,8,2.71,6.0,0.6931471805599453,0.0,1.8,2.0,0.0,1.0296194171811581,4.2691378525952635
12,57,14,2.55,5.3,1.547562508716013,0.010939940038334362,4.6,2.7,2.8273136219290276,2.8914822521801917,4.986001013137895
10,43,17,3.34,6.5,1.2237754316221157,0.0,3.6,1.5,3.6888794541139363,2.265921108622454,4.974109612746806
8,34,6,1.93,6.9,1.0296194171811581,0.0,2.4,1.0999999999999996,0.0,1.6714733033535532,4.199004832765533
4,21,4,2.43,6.8,0.6931471805599453,0.0,1.4,1.2000000000000002,3.0633909220278057,0.8754687373538999,3.9518204753022124
9,60,20,3.78,6.1,1.4350845252893227,0.0,4.7,1.9000000000000004,2.9601050959108397,2.7750856024383683,5.428468051013081
5,26,9,2.85,6.6,1.410986973710262,0.0,3.1,1.4000000000000004,0.0,2.361796952625892,4.318820558770089
7,35,11,2.17,8.0,0.6931471805599453,0.0,2.2,0.0,3.4965075614664802,1.1631508098056809,4.343155860284888
4,24,7,3.84,5.4,0.9932517730102833,0.0,2.1,2.5999999999999996,0.0,1.5195132049061133,4.53431844501614
8,37,8,2.2,7.1,0.6931471805599453,0.0,2.1,0.9000000000000004,2.0918640616783932,1.1314021114911006,4.411585436915426
1,5,3,1.36,6.2,0.6931471805599453,0.0,0.9,1.7999999999999998,1.9740810260220096,0.6418538861723948,2.0541237336955462
15,74,24,1.96,4.0,1.4816045409242156,0.15614868248993136,5.4,4.0,2.1972245773362196,2.963209081848431,4.983880556787436
7,46,16,2.3,4.5,0.6931471805599453,0.0,2.8,3.5,2.6741486494265287,1.33500106673234,4.6709579265260945
17,102,24,4.91,4.8,2.2407096892759584,0.1873090983049937,9.3,3.2,2.734367509419583,4.370965687314457,6.218241489654613
11,51,9,2.31,6.0,1.33500106673234,0.0,3.6,2.0,2.5649493574615367,2.405141681319138,4.777525578470196
14,74,25,3.34,7.0,0.6931471805599453,0.012916225266546327,4.1,1.0,0.0,1.62924053973028,5.514073699428229
16,89,25,2.74,7.8,1.9600947840472698,0.0246926125903715,7.6,0.20000000000000018,2.8094026953624978,3.85777799057575,5.500686618645769
1,6,1,1.77,5.8,0.6931471805599453,0.0,0.8,2.2,0.0,0.5877866649021191,2.4527277514237653
13,92,36,3.96,6.0,1.4816045409242156,0.11600367575630613,6.6,2.0,2.9444389791664403,3.1544439647088116,5.900773681823479
14,75,27,2.36,7.0,1.0296194171811581,0.019802627296179712,4.7,1.0,2.70805020110221,2.247072383063787,5.181783550292085
16,88,25,3.49,8.6,1.410986973710262,0.0,5.7,-0.5999999999999996,3.9627161197436642,2.9269179575536315,5.730489317484765
3,7,1,2.22,7.5,1.1631508098056809,0.0,1.6,0.5,2.1400661634962708,1.50851199384414,2.805781689595545
3,16,6,1.35,6.6,0.6931471805599453,0.0,1.4,1.4000000000000004,3.5263605246161616,0.8754687373538999,3.1179499062782403
6,26,10,3.23,8.0,0.6931471805599453,0.0,1.9,0.0,3.2188758248682006,1.0647107369924282,4.442415934686665
12,69,15,3.42,5.2,1.252762968495368,0.04018178963283184,4.3,2.8,0.0,2.463853240590168,5.467975749388594
7,38,15,1.06,7.1,0.832909122935104,0.0,2.7,0.9000000000000004,0.0,1.506297153514587,3.720378121173307
15,79,18,4.57,5.8,1.3609765531356006,0.06952606264861023,5.0,2.2,3.186352633162641,2.740840023925201,5.891727081320177
15,89,37,4.17,3.6,1.62924053973028,0.2295231582782488,7.0,4.4,1.5260563034950492,3.391147045808654,5.919243255590987
3,10,4,1.35,5.8,0.6931471805599453,0.0,1.1,2.2,0.0,0.7419373447293773,2.6741486494265287
14,61,16,2.98,5.7,0.8754687373538999,0.023716526617316044,3.4,2.3,2.517696472610991,1.7509374747078,5.208283243844056
